Album,File,Path
Arctic Monkeys - AM,R U Mine.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/R U Mine.flac
Arctic Monkeys - AM,I Want It All.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/I Want It All.flac
Arctic Monkeys - AM,No.1 Party Anthem.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/No.1 Party Anthem.flac
Arctic Monkeys - AM,I Wanna Be Yours.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/I Wanna Be Yours.flac
Arctic Monkeys - AM,Why'd You Only Call Me When You're High.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/Why'd You Only Call Me When You're High.flac
Arctic Monkeys - AM,Mad Sounds.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/Mad Sounds.flac
Arctic Monkeys - AM,Snap Out Of It.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/Snap Out Of It.flac
Arctic Monkeys - AM,One For The Road.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/One For The Road.flac
Arctic Monkeys - AM,Knee Socks.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/Knee Socks.flac
Arctic Monkeys - AM,Fireside.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/Fireside.flac
Arctic Monkeys - AM,Do I Wanna Know.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/Do I Wanna Know.flac
Arctic Monkeys - AM,2013.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/2013.flac
Arctic Monkeys - AM,Arabella.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Arctic Monkeys - AM/Arabella.flac
Kendrick Lamar - To Pimp a Butterfly (2015),06 - u.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Kendrick Lamar - To Pimp a Butterfly (2015)/06 - u.flac
Kendrick Lamar - To Pimp a Butterfly (2015),13 - The Blacker the Berry.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Kendrick Lamar - To Pimp a Butterfly (2015)/13 - The Blacker the Berry.flac
Kendrick Lamar - To Pimp a Butterfly (2015),03 - King Kunta.flac,/home/tushar/Documents/SoulSeek/SeekShare/Music/Kendrick Lamar - To Pimp a Butterfly (2015)/03 - King Kunta.flac
